objid,ra,dec,u,g,r,i,z,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,94.5030469,0.475851472,18.96574,17.49392,16.80027,16.5846,16.32055,357,1.41755E+18,STAR,2.16E-05,1259,52931,166
1.23765E+18,94.51335469,0.566978918,18.8781,17.18946,16.36462,16.03709,15.80739,357,1.41756E+18,STAR,0.000102055,1259,52931,171
1.23765E+18,94.59731098,0.5008192,18.80745,17.31809,17.08153,17.01195,16.92199,358,1.41756E+18,STAR,0.000251916,1259,52931,173
1.23765E+18,94.66229345,0.559812995,17.9974,16.56571,16.34072,16.27827,16.17252,358,1.41755E+18,STAR,0.000176504,1259,52931,158
1.23765E+18,94.53828779,0.581610869,19.4468,17.49869,16.64163,16.32379,16.10441,358,1.41756E+18,STAR,0.00015113,1259,52931,172
1.23765E+18,94.75659566,0.545980639,18.39291,16.89005,16.64779,16.57342,16.45864,359,1.41755E+18,STAR,0.000184656,1259,52931,159
1.23765E+18,94.75952303,0.489206289,17.41394,15.82041,15.54785,15.44004,15.32297,359,1.41755E+18,STAR,0.000154103,1259,52931,150
1.23765E+18,94.78157627,0.469236414,17.92325,16.08336,15.24429,14.97743,14.68391,359,1.41755E+18,STAR,0.000165467,1259,52931,157
1.23765E+18,94.80144598,0.480031064,18.00599,16.59239,15.96268,15.68571,15.48704,359,1.41755E+18,STAR,0.000248549,1259,52931,148
1.23765E+18,94.68555372,0.597225491,19.17918,17.62022,16.81505,16.45292,16.17883,359,1.41755E+18,STAR,0.000198203,1259,52931,145
1.23765E+18,94.82660781,0.511579298,17.24014,15.74588,15.49622,15.42726,15.36728,360,1.41755E+18,STAR,0.000153377,1259,52931,160
1.23765E+18,94.88321239,0.528810616,19.06549,17.41749,17.04866,16.9136,16.79453,360,1.41755E+18,STAR,0.000161408,1259,52931,153
1.23765E+18,94.9372491,0.426849838,16.83226,15.54497,15.32333,15.29553,15.22289,360,1.41755E+18,STAR,6.81E-05,1259,52931,154
1.23765E+18,94.95027439,0.490993466,18.60203,17.0015,16.70114,16.58815,16.47389,360,1.41754E+18,STAR,0.000191419,1259,52931,121
1.23765E+18,94.98627545,0.462755208,19.01501,17.34647,17.01908,16.88875,16.76277,361,1.41754E+18,STAR,0.000158814,1259,52931,122
1.23765E+18,95.00262841,0.43915517,18.96944,17.39834,17.09692,16.97927,16.86172,361,1.41755E+18,STAR,0.000248772,1259,52931,136
1.23765E+18,95.23848776,0.522283042,18.50328,16.80843,16.37821,16.19013,16.00962,362,1.41755E+18,STAR,4.41E-06,1259,52931,138
1.23765E+18,95.38906714,0.578667738,19.26527,17.52949,17.07929,16.89643,16.70403,363,1.41764E+18,STAR,0.000154012,1259,52931,477
1.23765E+18,95.43095446,0.514858133,18.69613,17.11757,16.72629,16.55408,16.39483,364,1.41753E+18,STAR,0.000153275,1259,52931,97
1.23765E+18,95.46312348,0.423128146,18.58406,17.00747,16.70864,16.62575,16.49165,364,1.41753E+18,STAR,0.00020581,1259,52931,98
1.23765E+18,95.48373556,0.528364761,19.10814,17.47881,16.89779,16.6436,16.50154,364,1.41764E+18,STAR,0.000179562,1259,52931,490
1.23765E+18,95.48341442,0.561495603,19.49383,17.83158,17.28235,17.0308,16.85097,364,1.41764E+18,STAR,0.000114571,1259,52931,486
1.23765E+18,95.54443399,0.42039417,18.66563,17.22367,16.95071,16.85968,16.81009,364,1.41753E+18,STAR,0.00013976,1259,52931,95
1.23765E+18,95.55117971,0.594169266,17.25711,15.61862,15.26411,15.12534,15.23013,364,1.41764E+18,STAR,0.000228585,1259,52931,491
1.23765E+18,95.4961657,0.588381202,19.45985,17.74878,17.23679,17.00379,16.80161,364,1.41764E+18,STAR,0.0001166,1259,52931,485
1.23765E+18,95.59307985,0.519759329,18.95968,17.4355,17.08788,16.93121,16.77718,365,1.41766E+18,STAR,0.000194675,1259,52931,537
1.23765E+18,95.62871624,0.552083069,18.25908,16.96885,16.6038,16.46867,16.32395,365,1.41766E+18,STAR,0.000225927,1259,52931,540
1.23765E+18,95.67813466,0.45029514,18.32321,16.6338,16.23536,16.06621,15.9324,365,1.41766E+18,STAR,0.000130363,1259,52931,536
1.23765E+18,95.68718817,0.568587039,18.63447,16.81266,16.2981,16.07833,15.87862,365,1.41766E+18,STAR,0.000105469,1259,52931,535
1.23765E+18,95.8435402,0.560050033,18.25515,16.49706,15.61909,15.16848,14.88882,366,1.41765E+18,STAR,0.000224093,1259,52931,532
1.23765E+18,95.95550246,0.420125114,17.36212,15.9069,15.5216,15.35418,15.20343,367,1.41766E+18,STAR,0.000147929,1259,52931,538
1.23765E+18,96.00814084,0.520645978,18.6527,17.6822,19.21713,16.95719,16.39001,367,1.41766E+18,STAR,0.000202467,1259,52931,563
1.23765E+18,96.02778999,0.509547309,17.27788,15.63853,15.29246,15.15025,15.025,368,1.41766E+18,STAR,0.0001915,1259,52931,564
1.23765E+18,96.02902532,0.589748098,17.61158,15.86968,15.39163,15.18249,15.02199,368,1.41766E+18,STAR,0.000112192,1259,52931,565
1.23765E+18,96.03670489,0.468477889,18.80263,17.18342,16.77893,16.59879,16.44357,368,1.41766E+18,STAR,0.000116434,1259,52931,567
1.23765E+18,96.03725194,0.558609201,18.79584,17.11262,16.69115,16.51002,16.334,368,1.41767E+18,STAR,0.000115339,1259,52931,579
1.23765E+18,96.04887964,0.58053795,17.75344,16.01047,15.51287,15.29505,15.12461,368,1.41766E+18,STAR,0.000112864,1259,52931,568
1.23765E+18,96.11593892,0.569639575,18.93719,16.56962,15.48036,15.06133,14.81821,368,1.41767E+18,STAR,0.000117932,1259,52931,578
1.23765E+18,96.12203901,0.522093903,17.64937,15.97161,15.56323,15.38022,15.24003,368,1.41767E+18,STAR,0.00021012,1259,52931,574
1.23765E+18,96.12947402,0.463706637,17.80049,16.07006,15.59613,15.39318,15.23292,368,1.41767E+18,STAR,0.000140518,1259,52931,580
1.23765E+18,96.16808772,0.523330492,17.59094,15.94305,15.5397,15.36399,15.19598,368,1.41767E+18,STAR,8.05E-05,1259,52931,602
1.23765E+18,96.0625995,0.438141353,19.5185,17.76141,17.28286,17.06664,16.90568,368,1.41767E+18,STAR,0.000133656,1259,52931,573
1.23765E+18,96.13386716,0.489714414,19.35614,17.61792,17.14062,16.90602,16.75252,368,1.41767E+18,STAR,5.84E-05,1259,52931,577
1.23765E+18,96.20762835,0.525075427,17.98662,16.31779,15.93669,15.77361,15.65163,369,1.41768E+18,STAR,0.000124589,1259,52931,613
1.23765E+18,96.2143319,0.548006885,18.97108,17.36816,17.00725,16.84802,16.69489,369,1.41768E+18,STAR,0.000180221,1259,52931,609
1.23765E+18,96.21868127,0.501829753,17.8195,16.23672,15.8719,15.69587,15.52072,369,1.41768E+18,STAR,8.24E-05,1259,52931,620
1.23765E+18,96.22423354,0.579467037,18.17291,16.53512,16.09147,15.95605,15.76946,369,1.41768E+18,STAR,0.000180602,1259,52931,619
1.23765E+18,96.23489839,0.423975693,17.25586,15.61591,15.23917,15.08549,14.96183,369,1.41768E+18,STAR,-7.22E-06,1259,52931,612
1.23765E+18,96.2904043,0.514425428,18.98555,17.5356,16.88702,16.57191,16.35599,369,1.41767E+18,STAR,-3.10E-05,1259,52931,603
1.23765E+18,96.30331123,0.573874421,18.77757,17.19927,16.88318,16.74328,16.62185,369,1.41767E+18,STAR,0.000147034,1259,52931,604
1.23765E+18,96.31548469,0.492193177,18.74846,17.1299,16.80702,16.66729,16.58632,369,1.41768E+18,STAR,4.68E-05,1259,52931,614
1.23765E+18,96.34636316,0.544492547,18.30842,16.74553,16.13087,15.86162,15.67015,370,1.41768E+18,STAR,-5.98E-06,1259,52931,615
1.23765E+18,94.10025982,0.887737734,17.80895,16.50277,16.38258,16.38958,16.3496,355,1.41761E+18,STAR,0.000156526,1259,52931,370
1.23765E+18,94.17779515,0.89113126,17.69851,16.2152,16.04205,16.00999,15.95449,355,1.41761E+18,STAR,0.000158071,1259,52931,371
1.23765E+18,94.23406952,0.851906072,18.52553,17.03238,16.85107,16.81772,16.75011,356,1.41761E+18,STAR,0.000164379,1259,52931,366
1.23765E+18,94.3816607,0.942048617,17.68669,16.2624,16.12234,16.09487,16.03698,357,1.41761E+18,STAR,0.000256182,1259,52931,365
1.23765E+18,94.40986946,0.934068419,18.83441,17.30827,17.13613,17.08087,17.01908,357,1.41761E+18,STAR,0.00011246,1259,52931,368
1.23765E+18,94.43369022,0.972052207,18.79271,17.0423,16.26496,15.91869,15.74185,357,1.41761E+18,STAR,0.000136887,1259,52931,380
1.23765E+18,94.4436366,0.852922386,18.438,16.98621,16.83219,16.81224,16.79249,357,1.41761E+18,STAR,0.000143677,1259,52931,379
1.23765E+18,94.49881867,0.989660893,18.09839,16.7229,16.13046,15.87395,15.6924,357,1.41761E+18,STAR,1.95E-05,1259,52931,375
1.23765E+18,94.51833361,0.839123718,18.66632,17.20002,17.04716,17.02973,16.97475,357,1.41762E+18,STAR,0.000194125,1259,52931,417
1.23765E+18,94.48065021,1.002059155,19.42064,17.82483,17.0706,16.7584,16.54133,357,1.41761E+18,STAR,0.00028203,1259,52931,362
1.23765E+18,94.53174785,0.92883193,17.79365,16.34339,15.96839,16.11843,15.72173,358,1.41762E+18,STAR,8.40E-05,1259,52931,412
1.23765E+18,94.53207616,0.877230173,17.60406,16.05053,15.6941,15.82955,15.44363,358,1.41762E+18,STAR,8.80E-05,1259,52931,414
1.23765E+18,94.5704586,0.997188229,18.69618,17.23645,16.63734,16.35796,16.14807,358,1.41762E+18,STAR,0.000252992,1259,52931,409
1.23765E+18,94.57799762,0.877346809,18.28783,16.75007,16.42278,16.31002,16.22085,358,1.41762E+18,STAR,0.000130438,1259,52931,419
1.23765E+18,94.59326567,0.948959742,19.05359,17.62755,17.16829,16.96772,16.8418,358,1.41762E+18,STAR,9.68E-05,1259,52931,407
1.23765E+18,94.60407355,0.925177408,17.9441,16.4345,15.99379,15.80487,15.69043,358,1.41762E+18,STAR,5.41E-05,1259,52931,403
1.23765E+18,94.63698134,0.974962988,17.14729,15.61818,15.41421,15.62225,15.27046,358,1.4176E+18,GALAXY,0,1259,52931,329
1.23765E+18,94.67949899,0.84232101,18.47695,16.94897,16.68126,16.59887,16.51747,359,1.41763E+18,STAR,0.000206783,1259,52931,451
1.23765E+18,94.81361725,0.86415916,16.59753,15.22174,14.99648,14.93687,14.85173,359,1.41763E+18,STAR,0.000152118,1259,52931,457
1.23765E+18,94.81333019,0.980798043,17.26491,16.00246,15.79299,15.68303,15.66872,359,1.41763E+18,STAR,0.000156835,1259,52931,442
1.23765E+18,94.86108244,0.898412512,19.07524,17.7593,16.9488,16.63678,16.42654,360,1.41763E+18,STAR,0.000248952,1259,52931,460
1.23765E+18,94.87250989,0.838282237,17.95106,16.34713,15.94763,15.79226,15.67866,360,1.41763E+18,STAR,7.65E-05,1259,52931,453
1.23765E+18,94.88388704,0.990685512,17.03847,15.47224,15.10297,14.97051,14.88297,360,1.41763E+18,STAR,1.18E-05,1259,52931,448
1.23765E+18,94.91536686,0.9453789,18.39684,16.85855,16.57424,16.48492,16.37063,360,1.41763E+18,STAR,0.000135536,1259,52931,449
1.23765E+18,95.03872676,0.908545742,18.90392,17.22835,16.88944,16.76901,16.66028,361,1.41764E+18,STAR,0.000183509,1259,52931,476
1.23765E+18,95.09141121,0.963893844,18.87002,17.05878,16.19566,15.7946,15.59423,361,1.41764E+18,STAR,0.000112947,1259,52931,473
1.23765E+18,95.06938207,0.967119305,18.74394,17.15325,16.83968,16.71426,16.59256,361,1.41764E+18,STAR,0.000138719,1259,52931,472
1.23765E+18,95.22195049,0.868323529,18.73745,17.17706,16.44903,16.12138,15.88933,362,1.41764E+18,STAR,0.000105119,1259,52931,470
1.23765E+18,95.22612606,0.957250973,19.06613,17.34293,16.72245,16.43074,16.22178,362,1.41764E+18,STAR,7.16E-05,1259,52931,467
1.23765E+18,95.22817945,0.891174873,18.6706,16.99171,16.56165,16.38384,16.19722,362,1.41764E+18,STAR,0.000142677,1259,52931,462
1.23765E+18,95.24288661,0.970593396,17.70423,15.86547,15.29097,15.01794,14.82418,362,1.41764E+18,STAR,0.000118005,1259,52931,463
1.23765E+18,95.27004116,0.858987207,18.66571,16.94823,16.53554,16.35474,16.18672,362,1.41764E+18,STAR,0.000162816,1259,52931,478
1.23765E+18,95.18280024,1.005300967,19.22186,17.43544,16.93804,16.69567,16.53674,362,1.41763E+18,STAR,8.16E-05,1259,52931,461
1.23765E+18,95.26604852,0.940066574,19.25114,17.48392,16.90086,16.62302,16.42503,362,1.41764E+18,STAR,0.000129977,1259,52931,471
1.23765E+18,95.28709856,0.966918446,18.84067,17.15699,16.6308,16.37362,16.20866,363,1.41764E+18,STAR,7.42E-05,1259,52931,484
1.23765E+18,95.29936364,0.890374688,18.72799,17.11779,16.48396,16.15507,15.94641,363,1.41764E+18,STAR,8.63E-05,1259,52931,492
1.23765E+18,95.39234187,0.919354746,17.47349,15.74609,15.22986,15.0143,14.84528,363,1.41764E+18,STAR,7.75E-05,1259,52931,494
1.23765E+18,95.41001161,0.838141218,17.91277,16.32434,15.58422,15.25003,15.03421,363,1.41765E+18,STAR,0.000184754,1259,52931,499
1.23765E+18,95.47824954,0.842532115,18.74132,17.29397,16.92432,16.83919,16.63634,364,1.41764E+18,STAR,0.000157831,1259,52931,483
1.23765E+18,95.48751035,0.925311898,18.73705,17.06851,16.68374,16.52062,16.36351,364,1.41764E+18,STAR,0.000131164,1259,52931,481
1.23765E+18,95.50218783,0.96326345,17.76895,16.28859,15.89664,15.73424,15.52795,364,1.41765E+18,STAR,0.000173668,1259,52931,531
1.23765E+18,95.52951638,0.970692871,18.14242,16.30503,15.76425,15.50117,15.26982,364,1.41765E+18,STAR,9.75E-05,1259,52931,524
1.23765E+18,95.46069815,0.870409418,19.31363,17.59785,17.14318,16.95871,16.77838,364,1.41764E+18,STAR,0.000147664,1259,52931,489
1.23765E+18,95.57189081,0.953216651,18.65735,17.15746,16.70656,16.49734,16.32541,365,1.41765E+18,STAR,0.000184008,1259,52931,522
1.23765E+18,95.57633497,0.988936063,18.23109,16.5295,16.04592,15.82595,15.61837,365,1.41765E+18,STAR,0.000124007,1259,52931,530
1.23765E+18,95.66534099,0.880276948,18.3962,16.77513,16.34279,16.14446,15.98003,365,1.41765E+18,STAR,0.000216307,1259,52931,521
1.23765E+18,95.69895541,0.975633624,18.94802,17.21039,16.73198,16.487,16.31816,365,1.41765E+18,STAR,0.000272126,1259,52931,523
1.23765E+18,95.71152143,0.941153022,19.53724,17.72064,17.18238,16.93931,16.73787,365,1.41765E+18,STAR,0.000150417,1259,52931,529
1.23765E+18,95.73140238,1.001972267,18.11789,16.60105,16.09809,15.879,15.68943,366,1.41765E+18,STAR,0.000323895,1259,52931,525
1.23765E+18,95.73998592,0.861880416,18.01439,16.37078,15.91688,15.71746,15.55174,366,1.41765E+18,STAR,0.000171422,1259,52931,527
1.23765E+18,95.97277603,0.847201351,19.12568,17.28396,16.37393,15.96665,15.7325,367,1.41766E+18,STAR,3.88E-05,1259,52931,570
1.23765E+18,96.12971794,0.996759246,19.06342,17.39516,16.82567,16.55591,16.39878,368,1.41768E+18,STAR,0.000142418,1259,52931,610
1.23765E+18,96.27467404,0.842180394,18.0279,16.33461,15.93053,15.75444,15.63022,369,1.41768E+18,STAR,0.00017429,1259,52931,608
1.23765E+18,96.29467872,0.879354529,17.75707,16.10103,15.67765,15.49004,15.32634,369,1.41767E+18,STAR,2.19E-05,1259,52931,605
1.23765E+18,55.02161608,1.274500757,19.47332,17.17348,16.22887,15.84207,15.59702,276,8.25418E+18,STAR,-5.38E-05,7331,56658,741
1.23765E+18,72.93996834,-0.946746735,18.60869,17.2593,16.75288,16.56083,16.48983,443,8.97347E+17,STAR,0.000285046,797,52263,18
1.23765E+18,83.09738392,-0.840216844,18.00216,16.51429,15.85651,15.55195,15.39107,511,2.31037E+18,STAR,0.000158481,2052,53401,89
1.23765E+18,83.12599866,-0.923496333,18.17068,16.04599,15.22213,14.92224,14.7631,511,2.31037E+18,STAR,2.06E-05,2052,53401,87
1.23765E+18,83.48451277,-0.852578339,19.17518,17.40466,16.63892,16.28806,16.08584,513,2.31036E+18,STAR,0.000273424,2052,53401,50
1.23765E+18,83.55350999,-1.005593974,16.84814,15.45056,14.84045,14.57015,14.44254,514,2.31036E+18,STAR,0.00014794,2052,53401,57
1.23765E+18,81.88216649,-0.603347412,17.83624,16.61213,16.35788,16.27118,16.28676,503,2.31043E+18,STAR,0.000222987,2052,53401,303
1.23765E+18,82.74857571,-0.477925539,18.85306,16.75453,15.80199,15.38145,15.18048,508,2.31041E+18,STAR,6.47E-05,2052,53401,229
1.23765E+18,82.75147789,-0.619038574,18.41981,17.11279,16.5295,16.25244,16.10431,508,2.31041E+18,STAR,3.38E-05,2052,53401,230
1.23765E+18,82.67747226,-0.601515653,19.42872,17.67688,16.75712,16.30523,16.02833,508,2.31042E+18,STAR,0.000125828,2052,53401,272
1.23765E+18,91.15440024,-0.562835999,17.55912,17.66917,18.09343,18.3891,18.71067,565,1.40632E+18,STAR,-0.000234223,1249,54484,269
1.23765E+18,71.48356144,-0.072018737,19.57714,19.92393,20.3055,20.62263,20.84769,433,8.97462E+17,STAR,-7.30E-05,797,52263,434
1.23765E+18,71.55960358,-0.067915385,18.5357,17.25237,16.78203,16.60119,16.54325,434,8.97462E+17,STAR,8.57E-05,797,52263,435
1.23765E+18,71.68739779,-0.007231309,18.27782,17.22536,16.87999,16.7393,16.68838,434,8.97471E+17,STAR,-3.55E-06,797,52263,467
1.23765E+18,81.85541849,-0.064043483,17.31778,16.03738,15.89335,15.88645,15.93368,502,2.3104E+18,GALAXY,0,2052,53401,192
1.23765E+18,81.96097593,-0.07710657,17.11362,15.87861,15.48288,15.35026,15.27169,503,2.31043E+18,STAR,2.85E-06,2052,53401,314
1.23765E+18,82.52581376,-0.159594115,17.56254,16.27703,15.92735,15.69758,15.63443,507,2.31042E+18,STAR,0.000143998,2052,53401,266
1.23765E+18,82.75112085,-0.134097209,19.10843,17.22146,16.47985,16.20813,16.0626,508,2.31041E+18,STAR,3.60E-05,2052,53401,237
1.23765E+18,83.27054771,-0.072855841,19.22151,17.90629,17.36145,17.11661,16.97309,512,2.31039E+18,STAR,0.000240744,2052,53401,173
1.23765E+18,83.29139198,-0.045622866,19.0602,17.87524,17.28617,17.03526,16.87956,512,2.31048E+18,STAR,0.000414406,2052,53401,480
1.23765E+18,83.41763548,-0.045805343,17.19197,15.68888,15.07164,14.72227,14.65668,513,2.31039E+18,STAR,0.000117249,2052,53401,171
1.23765E+18,83.4651044,-0.059212065,17.6429,16.19613,15.58324,15.31918,15.16468,513,2.31039E+18,STAR,0.000134486,2052,53401,157
1.23765E+18,83.48715805,-0.02167989,18.39251,17.02003,16.43709,16.18935,16.04589,513,2.31048E+18,STAR,4.89E-05,2052,53401,494
1.23765E+18,83.41759813,-0.115247631,19.4623,18.00237,17.44466,17.18726,17.06655,513,2.31039E+18,STAR,0.000110166,2052,53401,175
1.23765E+18,86.45666573,-0.086512111,19.27971,19.2137,17.71551,18.92219,18.65953,533,8.17073E+18,STAR,5.11E-06,7257,56658,262
1.23765E+18,86.58767792,-0.202594951,18.16801,17.83611,17.15799,16.79025,16.513,534,8.17073E+18,STAR,0.000178696,7257,56658,264
1.23765E+18,87.07052602,-0.189387405,18.29707,19.05436,17.86311,18.62256,17.6707,537,8.17071E+18,GALAXY,0.1815861,7257,56658,183
1.23765E+18,81.12435517,0.396091482,18.69682,17.59565,16.29555,15.03335,14.23506,498,8.17524E+18,STAR,3.52E-05,7261,56603,288
1.23765E+18,81.91358368,0.306012009,17.15502,15.61279,14.92185,15.17435,14.45947,503,2.31044E+18,STAR,0.000268675,2052,53401,349
1.23765E+18,81.96083781,0.307202197,16.26947,15.05878,14.81036,15.46789,14.7172,503,2.31044E+18,STAR,7.79E-05,2052,53401,342
1.23765E+18,81.98106755,0.265165536,15.96662,14.98182,14.67226,17.75138,14.37744,503,2.31044E+18,STAR,-1.16E-05,2052,53401,343
1.23765E+18,81.98492108,0.322918717,18.96279,17.51183,16.7999,16.48147,16.31169,503,2.31044E+18,STAR,4.13E-05,2052,53401,344
1.23765E+18,82.10372889,0.383388667,19.23092,18.05863,17.68201,17.54277,17.52375,504,2.31045E+18,STAR,0.00014456,2052,53401,360
1.23765E+18,82.36983366,0.286222127,17.5366,16.29274,16.33106,16.42324,16.48264,506,2.31046E+18,STAR,-9.21E-05,2052,53401,400
1.23765E+18,82.39257724,0.372613134,18.93509,17.24372,16.54756,16.29378,16.16748,506,2.31045E+18,STAR,9.78E-05,2052,53401,389
1.23765E+18,82.57010442,0.219387654,18.23205,16.41209,15.65359,15.36861,15.22048,507,2.31045E+18,STAR,0.000140728,2052,53401,387
1.23765E+18,82.70535079,0.296069727,17.46067,16.41444,16.04085,15.87154,15.80935,508,2.31045E+18,STAR,0.000513326,2052,53401,390
1.23765E+18,85.48080564,0.289600353,19.38519,17.68079,16.73539,16.20056,15.80572,527,8.1708E+18,GALAXY,0.05318839,7257,56658,519
1.23765E+18,85.59202114,0.370440381,19.56291,18.14799,17.32569,16.7966,16.46201,527,8.1708E+18,GALAXY,0.05301767,7257,56658,515
1.23765E+18,56.48579615,0.8435314,17.98595,16.77582,16.2295,16.00589,15.89195,333,1.83764E+18,STAR,0.000125238,1632,52996,619
1.23765E+18,56.90189437,0.845329738,19.23049,17.21716,16.38172,16.05841,15.88405,336,1.72161E+18,STAR,-0.000201317,1529,52930,396
1.23765E+18,80.22478287,0.834251389,18.12716,16.95737,16.40913,16.18926,16.05978,492,8.17527E+18,STAR,-1.66E-05,7261,56603,412
1.23765E+18,80.34398422,0.830512595,18.35316,17.11153,16.6132,16.39966,16.27895,492,8.17527E+18,STAR,0.000136039,7261,56603,409
1.23765E+18,80.5153817,0.69553319,18.35388,17.29353,16.86982,16.69375,16.61706,493,8.17526E+18,STAR,8.80E-05,7261,56603,368
1.23765E+18,80.60347465,0.753473699,15.83329,12.66507,12.05115,11.88029,13.99853,494,8.17525E+18,STAR,-2.37E-05,7261,56603,333
1.23765E+18,81.29995251,0.732651435,19.3174,18.97724,18.28066,17.8095,17.57444,499,8.17523E+18,QSO,0.2379307,7261,56603,252
1.23765E+18,81.69696824,0.706730632,17.09822,16.03646,15.68712,15.53984,15.48392,501,8.17521E+18,STAR,-0.00038387,7261,56603,174
1.23765E+18,82.37761513,0.655805696,18.51831,17.18312,16.56709,16.29447,16.14258,506,2.31044E+18,STAR,0.000830842,2052,53401,323
1.23765E+18,82.46114966,0.716584479,19.29461,17.58884,16.94533,16.72765,16.60235,506,2.31044E+18,STAR,4.71E-05,2052,53401,339
1.23765E+18,82.56602384,0.780004182,17.78939,16.24967,15.6854,15.31799,15.46821,507,2.31045E+18,STAR,6.84E-05,2052,53401,380
1.23765E+18,82.57005608,0.689758041,18.90158,17.5269,16.85674,16.55443,16.39288,507,2.31045E+18,STAR,0.000463245,2052,53401,374
1.23765E+18,82.57889052,0.674294915,18.94514,18.96804,19.34129,19.5807,19.91593,507,2.33297E+18,STAR,1.76E-05,2072,53430,380
1.23765E+18,82.68198319,0.716214316,19.10958,17.69579,17.04789,16.77481,16.62745,508,2.31045E+18,STAR,-9.38E-05,2052,53401,379
1.23765E+18,82.77523833,0.801605575,16.72386,15.47946,14.93361,14.68833,14.46396,509,2.33297E+18,STAR,-7.16E-06,2072,53430,370
1.23765E+18,82.82426658,0.774300684,17.2571,15.65451,15.13963,14.55403,14.33518,509,2.31045E+18,STAR,0.000631122,2052,53401,370
1.23765E+18,83.21117108,0.708939952,18.58763,17.27563,16.60342,16.3196,16.13949,511,2.31047E+18,STAR,0.001233784,2052,53401,450
1.23765E+18,83.39158411,0.761282299,18.20163,16.9334,16.3319,16.0578,15.90233,513,2.31047E+18,STAR,0.000407628,2052,53401,453
1.23765E+18,83.46643637,0.777610078,19.12162,17.8312,17.42871,17.24813,17.16633,513,2.31049E+18,STAR,-5.65E-05,2052,53401,531
1.23765E+18,83.54103229,0.692807938,16.85,15.56342,15.06483,14.87359,14.7831,514,2.31049E+18,STAR,5.09E-05,2052,53401,536
1.23765E+18,84.14828176,0.642668322,16.38034,15.14228,14.62816,14.41515,14.26009,518,2.31052E+18,STAR,-1.40E-06,2052,53401,613
